Musician,sub,scramble,16,8,5,4,3,2,1
Yes,23,Intact,-0.049666897987508674,-0.05929370017499514,-0.06336501641137857,-0.07022845953002613,-0.002984493328525065,0.007872763419483094,0.04820774234477336
Yes,24,Intact,-0.0525,-0.058857142857142844,0.1374,-0.06846153846153845,0.04911764705882353,-0.03104,-0.010859999999999988
Yes,25,Intact,0.09790614105658353,0.09754185795770727,-0.1707251115900552,0.06502894672828999,-0.04458547747595749,0.005041831057157289,0.0007274361645776916
Yes,26,Intact,0.15190264255910985,0.03346080368906455,0.034772186331179865,0.04171967831938289,-0.004206209656219858,-0.03277990701435212,0.05457254409159064
Yes,27,Intact,-0.07447648603485318,-0.010291666666666735,0.014633720930232571,0.010883728644883026,-0.13356967905405406,-0.03399504532074261,-0.005697819314641742
Yes,28,Intact,-0.11202990341753344,-0.04723562901111037,-0.1291280728228594,-0.04504194546249286,0.04210381066302117,-0.03635075556518442,-0.020087422851891766
Yes,29,Intact,0.18670778496542495,0.26533472541926995,0.03012599469496021,0.10343416267390175,-0.025816938284798304,0.05329905134768859,-0.003538166106577036
Yes,30,Intact,-0.06138461538461539,0.07564814814814814,-0.07960197031729785,0.07017628409928729,-0.003302274394717587,0.05318411097099623,0.00034372688353216007
Yes,31,Intact,-0.006311111111111115,-0.010448979591836743,0.1407547169811321,0.12287719298245607,0.13434920634920636,0.30301369863013694,0.42613084112149535
Yes,32,Intact,0.11542857142857142,0.044230769230769226,-0.03721052631578948,0.0029999999999999966,-0.03530303030303031,-0.015938775510204076,-0.006595959595959602
Yes,33,Intact,0.056585774058577405,0.008736263736263726,-0.06377593858702171,0.12939810201660734,0.07054716406913233,0.07102538606643856,0.0493298094905296
Yes,34,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,35,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,36,Intact,-0.08156497317236754,-0.08760683760683713,0.052264907135874804,0.0864432989690721,-0.012017590332757896,0.062275977444886055,0.012615238469601683
Yes,37,Intact,-0.05455357142857143,-0.07733673469387756,0.1624122423485322,-0.09443442912689996,-0.018658975046954653,-0.09981002965627886,-0.01667763524818737
Yes,38,Intact,-0.1394000000000002,0.014753566796368354,-0.1562933578628646,-0.0756546577666697,-0.16208133110793843,-0.1074645661312673,-0.1254977490596582
Yes,39,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,40,Intact,-0.0814,-0.112,-0.115,-0.048857142857142835,-0.0685,-0.09257692307692308,-0.08052941176470586
Yes,41,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,42,Intact,-0.09606534823731729,-0.127082026455748,-0.0060930898675259654,-0.1434817677039738,0.03278856091996835,0.012892257704421307,0.0072689467547609795
Yes,43,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,44,Intact,-0.030857142857142854,-0.03292307692307692,-0.03557894736842106,-0.03919999999999999,-0.03545454545454545,0.04530612244897959,0.023414141414141415
Yes,45,Intact,-0.04086313465783665,0.028398243604429173,0.2061615763749974,-0.01393915603532875,-0.04577401378501239,-0.03211386260798024,0.037205952469150816
Yes,46,Intact,0.15421861973135711,0.06961320416218156,0.28411764705882453,0.08570783981951494,-0.01091014733347167,0.015032143761073145,0.04388390776027427
Yes,47,Intact,0.6082222222222222,0.39993333333333336,0.020476190476190464,0.2541481481481482,0.0,0.12937254901960787,0.06018757850144087
