Musician,sub,scramble,16,8,5,4,3,2,1
Yes,33,8B,-0.10007762682740197,0.028356608338490973,-0.1041195947901592,-0.00788730356496927,0.11455602675354894,-0.0035470215654159524,0.1272695026547871
Yes,34,8B,0.07232510288065844,-0.0011552238805970306,-0.1000957042665108,-0.04955047383601155,-0.10907855345881849,0.056493367795789486,0.024078962629835398
Yes,35,8B,-0.07,-0.09483333333333333,-0.10825,-0.114,0.04248,-0.1265142857142857,-0.014776119402985094
Yes,36,8B,-0.05686328460877042,-0.08292318130863177,-0.08302277458835405,0.017386021160628398,-0.09865759275338512,-0.03885440274898001,-0.07415736869438906
Yes,37,8B,0.03769179389312977,0.1462250922509225,0.0028684210526315813,0.02298033446887581,-0.05508898802535806,-0.02392278393285508,0.008126858626386986
Yes,38,8B,0.22385714285714284,0.18754545454545452,0.17706666666666665,0.06621052631578947,-0.008948198899615898,0.01668184539148306,0.015036568104463943
Yes,39,8B,-0.04933333333333333,-0.0552,0.22428571428571428,-0.07200000000000001,-0.06333333333333332,0.048235294117647064,-0.012117647058823518
Yes,40,8B,0.6146666666666667,0.3436,-0.05342857142857142,0.3791111111111111,-0.064,0.16894117647058823,0.04794117647058825
Yes,41,8B,-0.047,-0.053200000000000004,0.08414285714285714,-0.0641111111111111,-0.06408333333333334,-0.011941176470588228,-0.013029411764705867
Yes,42,8B,-0.08293002481389578,0.027114369501466284,-0.019248606465997777,0.03874781919111817,0.007167912839136937,0.11246204118854014,0.03143957436027364
Yes,43,8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,44,8B,-0.05975693018480492,-0.08098538367844092,-0.08679272727272726,-0.04116380449141346,0.07325604839774918,-0.040635739657612906,0.07733452056192967
Yes,45,8B,-0.0715,0.23491666666666663,-0.106,0.08424999999999999,-0.04448978850207139,-0.013701220898139396,-0.07756055623721879
Yes,46,8B,-0.057316446911866756,0.11190364826941068,0.07111248863542441,0.1262214443272274,-0.08068694906534044,0.088531452932137,0.0006786786786786887
Yes,47,8B,-0.053675572519083975,-0.062046814501935936,-0.07459605986560781,-0.07728042870456663,-0.08221281775711181,-0.08590982227881828,-0.08792478465482173
Yes,48,8B,0.18356442831215972,0.43429114028229293,0.022810354857475283,0.3056445255934018,-0.03498572331017056,0.17060395805625472,0.08431835752942189
Yes,0,2B,-0.05235913978494623,0.003674220129487951,0.07965814808010288,-0.0032692883895130936,-0.004085831242572248,-0.05249410978868107,0.020749475890985334
Yes,1,2B,-0.05253895773213377,-0.0007560137457044607,0.0357569904871721,-0.06562404761904762,0.18632893366810518,0.07109123781866923,0.09139469753547423
Yes,2,2B,-0.05432426347613534,0.030581151832460744,0.17920474576271184,0.034332927818329285,0.05445683585462036,0.13441245256718037,0.021667677789012487
Yes,3,2B,-0.04132823871906842,-0.06406850618458612,0.12467617007251153,-0.07954309806371018,-0.008695875969950834,-0.039063276067358384,0.04358988241058306
Yes,4,2B,-0.0479890988372093,0.03981107491856678,0.03803445674044266,0.09791169211079624,-0.025731120917114,0.0010534732633683099,-0.02726874300207938
Yes,5,2B,-0.051480012524788635,0.0035593248386562876,-0.01110809978441636,-0.05901822879288072,0.0469115200471966,-0.018091382617417773,-0.04480794295951357
Yes,6,2B,-0.044242925555071824,0.05459257856872396,-0.07860732790525538,0.0005074257425742579,0.05010652432878218,0.006265380974917177,-0.000349379652605463
