Musician,sub,scramble,16,8,5,4,3,2,1
Yes,11,8B,-0.034146341,-0.053252336,0.084384557,-0.056355596,0.03746547,0.046957684,-0.012522277
Yes,11,2B,-0.043788064,0.110075912,-0.06843518,0.029139966,0.009287947,0.029585362,0.001462832
Yes,11,1B,-0.04367328,-0.069319677,0.015956354,-0.005868808,-0.026475483,-0.054335297,-0.059931259
No,11,Intact,-0.077211265,0.390170265,-0.110219496,0.271110057,0.020525716,0.078565278,-0.036650071
No,11,8B,0.112534326,0.549381978,-0.151991584,0.361053461,0.090647508,0.208507942,0.023740657
No,11,2B,0.194711484,0.431211027,0.00534148,0.284364881,-0.09437964,0.286838663,0.07161415
No,11,1B,-0.095777976,-0.034438374,0.105353906,0.060471088,-0.08578715,0.100410751,0.003062157
Yes,12,Intact,-0.043542547,-0.044475138,0.053399921,0.027276522,0.006830697,0.026589081,0.027004742
Yes,12,8B,-0.0335,0.259781021,-0.05075,0.134753804,-0.062749932,0.044888889,-0.011524518
Yes,12,2B,-0.046421446,-0.070001185,0.025638336,-0.084803722,-0.029071682,-0.049168846,-0.027415031
Yes,12,1B,-0.047666667,-0.076,0.0154,-0.08825,-0.0398,-0.1116,-0.047675676
No,12,Intact,0.094587405,0.261884867,-0.099338591,0.148353929,-0.073237962,0.040483577,-0.027283931
No,12,8B,0.021395279,0.160961609,-0.136295743,0.22390886,-0.082941053,0.106125564,0.022643252
No,12,2B,-0.085319968,0.001561078,0.227146925,-0.095164552,-0.005845685,0.075073227,-0.029917139
No,12,1B,-0.089661072,-0.127024,-0.053715034,-0.083841868,-0.116539608,-0.148720429,-0.053830314
Yes,13,Intact,-0.098050899,-0.134867916,0.061584393,-0.055487387,-0.059674518,-0.025269301,-0.038793206
Yes,13,8B,0.182051349,0.245161191,0.038568359,0.094787627,0.043703768,0.052850676,0.023735076
Yes,13,2B,-0.086550686,-0.127288716,-0.005208675,-0.146465232,-0.16404102,-0.174062707,-0.077743552
Yes,13,1B,-0.094554962,0.117895913,-0.171574261,0.046874102,-0.147581864,0.127622275,0.010342611
No,13,Intact,0.140222319,0.213427947,-0.090851989,0.059203937,-0.016633443,0.111238256,0.013827896
No,13,8B,0.085857143,0.650090909,-0.089066667,0.332315789,0.064490369,0.192759798,0.073133429
No,13,2B,-0.084392606,0.027208072,0.211768798,0.224441888,0.060374013,0.158990776,0.018098929
No,13,1B,0.368444444,0.204,0.221882353,0.154190476,0.006962963,0.062756757,0.032478873
Yes,14,Intact,0.123747103,0.022825083,-0.099233199,-0.00186166,-0.107606679,-0.057210636,-0.060563878
Yes,14,8B,-0.034,0.187555556,-0.033846154,0.086411765,-0.036597678,0.025855154,-0.00600634
Yes,14,2B,-0.054537768,-0.078027725,0.159030449,-0.089068909,-0.019922556,-0.040788901,-0.04509001
Yes,14,1B,-0.050805776,-0.052105799,0.083064799,0.02151434,0.189704927,-0.008709367,0.017734688
No,14,Intact,0.19025,0.222857143,0.1332,0.088076923,-0.006764706,0.01128,0.04838
No,14,8B,-0.032601246,0.153277545,-0.046265631,0.062211254,-0.053588277,0.004925373,0.00461989
No,14,2B,-0.054062013,-0.063326425,-0.068187328,0.033364827,0.024783802,-0.005954603,-0.006792543
No,14,1B,-0.039759305,-0.044083969,0.094529711,0.183591763,0.034633891,0.066056663,0.007821352
Yes,15,Intact,0.072125,0.080857143,0.0361,0.050230769,-0.009588235,-0.00852,0.01923
Yes,15,8B,0.020109006,0.183429929,-0.112889767,0.05384115,-0.059516127,0.045497214,-0.033079161
Yes,15,2B,-0.103009108,-0.075172264,0.119557119,0.253827988,-0.038233105,0.192371064,0.03122767
Yes,15,1B,-0.106502452,-0.072011048,0.09464338,-0.106412044,-0.048891914,-0.183178884,-0.165173275
No,15,Intact,0.093123821,0.229696802,0.029171087,0.239216113,-0.018333619,0.373059303,0.11963785
No,15,8B,0.409259555,0.369791386,-0.095411379,0.249736252,-0.098239031,0.281052521,0.03990661
No,15,2B,0.107430433,0.256513889,-0.08883268,0.186738164,0.134031375,0.375318861,0.13549744
No,15,1B,-0.830453988,-0.090074162,0.095605823,-0.057851062,0.236710409,0.059515091,0.198390231
Yes,16,Intact,-0.034132619,-0.031424169,-0.03447656,0.004944294,-0.004456447,-0.016632413,-0.005577388
Yes,16,8B,0.470879782,0.876881501,0.0247536,0.464828677,0.132234236,0.285874077,0.08869826
Yes,16,2B,-0.096282441,0.123741522,-0.066423287,0.083423895,-0.127668045,0.050659372,-0.0658225
Yes,16,1B,0.114,0.026785714,-0.144555556,-0.057776495,-0.011396124,-0.072264162,-0.050743216
No,16,Intact,-0.065194961,-0.077558184,0.141937916,-0.058841008,0.148126543,0.014182385,0.013131695
No,16,8B,0.121354839,0.329555957,0.205101784,0.223925657,-0.079341826,0.099222863,0.01451691
No,16,2B,-0.083716814,0.002403614,-0.036028742,0.020730673,-0.027074573,0.074539696,0.018132984
No,16,1B,-0.075,-0.118530233,-0.039588616,-0.151710647,-0.006103226,-0.020601273,-0.054366678
Yes,17,Intact,-0.075341772,-0.08789055,0.079042631,-0.111575895,0.07146163,-0.027841851,-0.001253409
Yes,17,8B,-0.071483329,-0.0930341,-0.112460905,-0.11046303,-0.123152407,-0.124170962,-0.106185145
Yes,17,2B,-0.088681805,0.003145005,-0.061144137,0.005038794,-0.123664718,0.050274124,0.021643279
Yes,17,1B,0.06846899,-0.014020073,-0.072768711,-0.018608511,-0.145198153,-0.02869753,-0.009022293
No,17,Intact,-0.08290828,0.123354167,0.03922399,-0.082913426,0.086973779,-0.039386676,-0.017132666
No,17,8B,0.492232395,0.711189863,-0.038705483,0.454105728,-0.03432711,0.172922511,0.039120097
No,17,2B,0.094343773,0.139723049,-0.019069635,0.205767587,-0.02290719,0.138187262,0.083140847
No,17,1B,0.119176938,0.030625179,-0.131606815,0.043266095,-0.078625689,-0.003895406,0.022086533
Yes,18,Intact,-0.076466891,-0.039651163,0.20574601,-0.045211947,0.145482782,0.023671424,0.03654683
Yes,18,8B,0.064439433,0.52820014,-0.0975457,0.262597091,-0.025377783,0.116682335,0.028937921
Yes,18,2B,0.0874375,0.1908,0.051916667,0.206785085,-0.018870607,0.216901366,0.030092128
Yes,18,1B,-0.012246542,-0.029986383,-0.108959528,-0.020996942,-0.061977027,0.12574256,0.03804491
No,18,Intact,-0.085695937,0.113155553,0.264941812,0.072845762,0.074567696,0.07970863,0.051597217
No,18,8B,-0.087777695,-0.109668979,-0.127214138,-0.144430587,-0.008250463,-0.108512834,-0.011132468
No,18,2B,-0.090454627,-0.130636964,-0.157191914,-0.175539289,0.008420817,-0.20724557,0.012135135
No,18,1B,-0.093283585,-0.129886115,0.145894278,-0.006032416,0.014915776,0.098518231,0.073234154
Yes,19,Intact,-0.062499109,0.070829892,-0.078805484,0.072814871,-0.004189628,0.049718641,0.001095633
Yes,19,8B,0.224142857,0.735363636,-0.082933333,0.381842105,0.070259073,0.194141403,0.04547897
Yes,19,2B,-0.085510359,-0.12895826,-0.236129386,-0.167668981,-0.036862241,-0.127473417,-0.012084066
Yes,19,1B,-0.094513056,-0.137969887,-0.072931882,-0.103717421,-0.0688962,-0.066129668,0.049074602
No,19,Intact,-0.083421508,0.138726299,0.021658274,0.169707169,0.192001249,0.161451634,0.055694098
No,19,8B,0.181054445,0.049776536,-0.12698318,-0.029269338,0.076685792,-0.096586869,-0.023901918
No,19,2B,0.082894149,0.11099772,-0.183075266,0.065452571,-0.155773564,-0.026463437,-0.033339087
No,19,1B,0.339790984,0.299291493,-0.177857496,0.107773858,-0.032612044,0.134995908,0.061473576
